timestamp,Latitude,Longitude,ax,ay,az
1708513144.47,10.87477207,106.8014832,-0.61,-0.24,9.28
1708513144.62,10.87477207,106.8014832,-2.05,0.77,10.24
1708513144.7,10.87477207,106.8014832,-1.18,-0.22,10.8
1708513144.79,10.87477207,106.8014832,-0.69,0.03,8.39
1708513144.87,10.87469864,106.8014755,-4.44,-0.84,10.53
1708513145.3,10.87469864,106.8014755,5.52,-0.61,23.66
1708513145.46,10.87469864,106.8014755,-1.43,-0.3,11.74
1708513145.62,10.87469864,106.8014755,-0.45,0.21,10.68
1708513145.71,10.87469864,106.8014755,0.84,-1.13,8.33
1708513145.78,10.87469864,106.8014755,-0.24,0.7,11.03
1708513145.87,10.87462616,106.8014679,-0.65,-0.59,10.01
1708513146.3,10.87462616,106.8014679,-1.34,0.15,10.36
1708513146.46,10.87462616,106.8014679,0.29,0.29,9.38
1708513146.62,10.87462616,106.8014679,-1.04,-0.64,9.55
1708513146.7,10.87462616,106.8014679,-0.37,0.31,11.11
1708513146.79,10.87462616,106.8014679,-2.14,0.28,10.84
1708513146.87,10.87454796,106.8014526,-1.92,-0.29,9.86
1708513147.29,10.87454796,106.8014526,-1.15,0.28,10.56
1708513147.46,10.87454796,106.8014526,-1.62,-0.71,8.73
1708513147.62,10.87454796,106.8014526,-1.49,-0.42,10.56
1708513147.71,10.87454796,106.8014526,-0.96,-0.33,11.04
1708513147.78,10.87454796,106.8014526,-2.49,0.18,9.38
1708513147.87,10.87446976,106.8014526,-1.58,-1.06,10.43
1708513148.3,10.87446976,106.8014526,-0.84,0.36,9.76
